cycle number,time/s,Ecell/V,I/mA,Q charge/mA.h
26.0,719320.0317671672,3.5112793,0.87993538,0.2143798667017618
26.0,719350.0317702964,3.5115156,0.87991571,0.2217128741041487
26.0,719380.0317734256,3.5119095,0.87997478,0.2290458917707535
26.0,719410.0317765549,3.512382,0.88005358,0.2363789060899615
26.0,719440.0317796841,3.5128152,0.87997478,0.2437119326599107
26.0,719470.0317828134,3.5131698,0.87999451,0.2510449483690327
26.0,719500.0317859426,3.513603,0.88003385,0.2583779709372586
26.0,719530.0317890719,3.5139573,0.87993538,0.2657109887784388
26.0,719560.0317922011,3.5143511,0.88009292,0.2730440201194418
26.0,719590.0317953303,3.5148633,0.87993538,0.2803770434421963
26.0,719620.0317984596,3.5153358,0.87997478,0.2877100741076469
26.0,719650.0318015888,3.5156507,0.87981725,0.2950431048463119
26.0,719680.0318047181,3.5162416,0.87995511,0.3023761238492196
26.0,719710.0318078473,3.5166354,0.87993538,0.3097091503886712
26.0,719740.0318109766,3.5170293,0.87985665,0.3170421649481521
26.0,719770.0318141058,3.5175018,0.88003385,0.3243751947818199
26.0,719800.031817235,3.517935,0.87987632,0.3317082350718974
26.0,719830.0318203643,3.5183682,0.87993538,0.3390412692463728
26.0,719860.0318234935,3.5188408,0.87995511,0.3463742964829338
26.0,719890.0318266228,3.5193529,0.88001418,0.3537073255037929
26.0,719920.031829752,3.5198255,0.87991571,0.3610403562645779
26.0,719950.0318328813,3.5202193,0.88003385,0.3683733944544195
26.0,719980.0318360105,3.5204949,0.87985665,0.3757064490332536
26.0,720010.0318391398,3.5210857,0.87995511,0.3830394978112975
26.0,720040.031842269,3.5215583,0.88001418,0.3903725397972265
26.0,720070.0318453982,3.5221884,0.88005358,0.3977055836107332
26.0,720100.0318485275,3.5225823,0.87993538,0.40503862994045
26.0,720130.0318516567,3.5230548,0.87991571,0.412371687999202
26.0,720160.031854786,3.5235274,0.87989604,0.4197047380808325
26.0,720190.0318579152,3.5239999,0.87999451,0.4270377785225707
26.0,720220.0318610445,3.5244725,0.88005358,0.43437081212759
26.0,720250.0318641737,3.5250633,0.88001418,0.441703862745861
26.0,720280.031867303,3.5255754,0.88017172,0.449036906295551
26.0,720310.0318704322,3.525969,0.87997478,0.4563699340912698
26.0,720340.0318735614,3.5265598,0.87985665,0.4637029731239873
26.0,720370.0318766907,3.526993,0.87991571,0.4710360230842893
26.0,720400.0318798199,3.5275838,0.87997478,0.4783690633086693
26.0,720430.0318829492,3.5279384,0.87993538,0.4857021098773677
26.0,720460.0318860784,3.5285685,0.88001418,0.493035168765452
26.0,720490.0318892077,3.5291591,0.87999451,0.5003682164187231
26.0,720520.0318923369,3.5296319,0.88003385,0.5077012622120644
26.0,720550.0318954661,3.5302224,0.87999451,0.5150342945919764
26.0,720580.0318985954,3.5307739,0.87991571,0.5223673398271863
26.0,720610.0319017246,3.5312858,0.87997478,0.5297003881955145
26.0,720640.0319048539,3.5319159,0.87993538,0.5370334271832305
26.0,720670.0319079831,3.5323098,0.88001418,0.544366467144456
26.0,720700.0319111124,3.5328612,0.87999451,0.551699492498901
26.0,720730.0319142416,3.5335307,0.87989604,0.5590325240031877
26.0,720760.0319173709,3.5339246,0.87997478,0.5663655460457337
26.0,720790.0319205001,3.5346727,0.87999451,0.573698587362998
26.0,720820.0319236293,3.5351453,0.87985665,0.5810316449605093
26.0,720850.0319267586,3.5357754,0.88005358,0.5883646961917479
26.0,720880.0319298878,3.5362875,0.87995511,0.5956977411224444
26.0,720910.0319330171,3.5368388,0.87987632,0.6030307968278394
26.0,720940.0319361463,3.5373509,0.87999451,0.6103638372939825
26.0,720970.0319392756,3.537981,0.87999451,0.6176968784602151
26.0,721000.0319424048,3.5386505,0.87997478,0.6250299257112211
26.0,721030.031945534,3.5391624,0.87997478,0.6323629656630423
26.0,721060.0319486633,3.5397532,0.87989604,0.6396960109848446
